,0,1,2,3,4,5,6,7,sol_value
0,3,12,16,11,2,9,10,17,-328888.3915345396
1,17,15,0,16,18,10,8,9,-556733.2466333332
2,0,18,6,19,16,8,12,2,-489668.99279086874
3,9,13,12,6,0,8,15,11,-434343.52942129923
4,17,15,6,16,12,2,8,9,-290307.72785809054
5,13,12,16,11,2,9,10,17,-303455.3966339164
6,17,9,2,16,18,13,8,15,-307687.0223546553
7,9,15,19,2,12,16,8,17,-284907.8434058756
